,Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,cluster,db,Diagnosis
3237,response to UV (GO:0009411),Apr-98,0.758421652,0.831053938,0,0,0.772551348,0.213622638,GPX1;BCL3;CAT;DTL,All,GO_Biological_Process_2018,HET
3238,"DNA-templated transcription, initiation (GO:0006352)",8/186,0.759853644,0.832365928,0,0,0.815458937,0.223949029,NR4A1;MBD4;NR4A3;TAF9;RARA;SOX9;MNAT1;NRBP1,All,GO_Biological_Process_2018,HET
3239,positive regulation of cell-substrate adhesion (GO:0010811),Feb-52,0.762073616,0.834540017,0,0,0.726493756,0.197397158,SFRP1;CSF1,All,GO_Biological_Process_2018,HET
3240,stimulatory C-type lectin receptor signaling pathway (GO:0002223),5/121,0.762562323,0.834623325,0,0,0.782381569,0.212080984,LYN;FCER1G;CLEC7A;CD209;PLCG2,All,GO_Biological_Process_2018,HET
3241,ATP synthesis coupled proton transport (GO:0015986),27-Jan,0.764738034,0.834623325,0,0,0.698767164,0.187424686,TCIRG1,All,GO_Biological_Process_2018,HET
3242,mRNA polyadenylation (GO:0006378),27-Jan,0.764738034,0.834623325,0,0,0.698767164,0.187424686,PABPC1,All,GO_Biological_Process_2018,HET
3243,phosphatidylinositol phosphorylation (GO:0046854),27-Jan,0.764738034,0.834623325,0,0,0.698767164,0.187424686,PIK3CG,All,GO_Biological_Process_2018,HET
3244,cristae formation (GO:0042407),27-Jan,0.764738034,0.834623325,0,0,0.698767164,0.187424686,SAMM50,All,GO_Biological_Process_2018,HET
3245,regulation of double-strand break repair via homologous recombination (GO:0010569),27-Jan,0.764738034,0.834623325,0,0,0.698767164,0.187424686,ZNF365,All,GO_Biological_Process_2018,HET
3246,phosphatidylserine metabolic process (GO:0006658),27-Jan,0.764738034,0.834623325,0,0,0.698767164,0.187424686,SERINC5,All,GO_Biological_Process_2018,HET
3247,regulation of protein targeting to membrane (GO:0090313),27-Jan,0.764738034,0.834623325,0,0,0.698767164,0.187424686,ITGAM,All,GO_Biological_Process_2018,HET
3248,negative regulation of organelle assembly (GO:1902116),27-Jan,0.764738034,0.834623325,0,0,0.698767164,0.187424686,LRRK2,All,GO_Biological_Process_2018,HET
3249,regulation of autophagy of mitochondrion (GO:1903146),27-Jan,0.764738034,0.834623325,0,0,0.698767164,0.187424686,SLC17A9,All,GO_Biological_Process_2018,HET
3250,endocytic recycling (GO:0032456),27-Jan,0.764738034,0.834623325,0,0,0.698767164,0.187424686,EHD4,All,GO_Biological_Process_2018,HET
3251,regulation of TORC1 signaling (GO:1903432),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,CASTOR2,All,GO_Biological_Process_2018,HET
3252,acute inflammatory response (GO:0002526),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,MYLK3,All,GO_Biological_Process_2018,HET
3253,cellular amino acid biosynthetic process (GO:0008652),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,ASPG,All,GO_Biological_Process_2018,HET
3254,regulation of mRNA processing (GO:0050684),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,ZFP36L1,All,GO_Biological_Process_2018,HET
3255,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway (GO:0051482),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,GPR65,All,GO_Biological_Process_2018,HET
3256,protein K11-linked ubiquitination (GO:0070979),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,RNF26,All,GO_Biological_Process_2018,HET
3257,negative regulation of JNK cascade (GO:0046329),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,PER1,All,GO_Biological_Process_2018,HET
3258,cardiac muscle cell action potential involved in contraction (GO:0086002),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,KCNJ2,All,GO_Biological_Process_2018,HET
3259,production of miRNAs involved in gene silencing by miRNA (GO:0035196),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,AGO4,All,GO_Biological_Process_2018,HET
3260,nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,IRGM,All,GO_Biological_Process_2018,HET
3261,regulation of adenylate cyclase activity (GO:0045761),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,GNAI2,All,GO_Biological_Process_2018,HET
3262,protein export from nucleus (GO:0006611),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,TGFB1,All,GO_Biological_Process_2018,HET
3263,transcription elongation from RNA polymerase I promoter (GO:0006362),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,MNAT1,All,GO_Biological_Process_2018,HET
3264,RNA polyadenylation (GO:0043631),28-Jan,0.777023453,0.844394053,0,0,0.672851354,0.169750132,PABPC1,All,GO_Biological_Process_2018,HET
3265,regulation of cellular response to heat (GO:1900034),Mar-78,0.780012331,0.846540581,0,0,0.726230769,0.180428803,IER5;HSPA1B;HSPA1A,All,GO_Biological_Process_2018,HET
3266,negative regulation of inflammatory response (GO:0050728),Mar-78,0.780012331,0.846540581,0,0,0.726230769,0.180428803,APOE;ISL1;TNFRSF1A,All,GO_Biological_Process_2018,HET
3267,RNA modification (GO:0009451),Feb-54,0.780192038,0.846540581,0,0,0.698477795,0.173372797,CTU1;AARS2,All,GO_Biological_Process_2018,HET
3268,negative regulation of supramolecular fiber organization (GO:1902904),Feb-54,0.780192038,0.846540581,0,0,0.698477795,0.173372797,CLU;LDLR,All,GO_Biological_Process_2018,HET
3269,sensory perception (GO:0007600),Feb-54,0.780192038,0.846540581,0,0,0.698477795,0.173372797,P2RX7;ASIC3,All,GO_Biological_Process_2018,HET
3270,innate immune response activating cell surface receptor signaling pathway (GO:0002220),5/124,0.780884033,0.846773362,0,0,0.762536228,0.188597037,LYN;FCER1G;CLEC7A;CD209;PLCG2,All,GO_Biological_Process_2018,HET
3271,organic anion transport (GO:0015711),5/124,0.780884033,0.846773362,0,0,0.762536228,0.188597037,SLC22A3;NPC2;SLCO2B1;ALB;LDLR,All,GO_Biological_Process_2018,HET
3272,cation transport (GO:0006812),Mar-79,0.787288279,0.85234767,0,0,0.716637146,0.171391511,P2RX7;SLC22A3;CHRNB3,All,GO_Biological_Process_2018,HET
3273,"nucleotide-excision repair, preincision complex assembly (GO:0006294)",29-Jan,0.788667904,0.85234767,0,0,0.648786674,0.154028415,MNAT1,All,GO_Biological_Process_2018,HET
3274,collagen fibril organization (GO:0030199),29-Jan,0.788667904,0.85234767,0,0,0.648786674,0.154028415,TGFBR1,All,GO_Biological_Process_2018,HET
3275,protein alkylation (GO:0008213),29-Jan,0.788667904,0.85234767,0,0,0.648786674,0.154028415,EEF1A1,All,GO_Biological_Process_2018,HET
3276,positive regulation of histone modification (GO:0031058),29-Jan,0.788667904,0.85234767,0,0,0.648786674,0.154028415,NANOS1,All,GO_Biological_Process_2018,HET
3277,regulation of embryonic development (GO:0045995),29-Jan,0.788667904,0.85234767,0,0,0.648786674,0.154028415,DLL1,All,GO_Biological_Process_2018,HET
3278,nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289),29-Jan,0.788667904,0.85234767,0,0,0.648786674,0.154028415,PABPC1,All,GO_Biological_Process_2018,HET
3279,synaptic vesicle recycling (GO:0036465),29-Jan,0.788667904,0.85234767,0,0,0.648786674,0.154028415,STON2,All,GO_Biological_Process_2018,HET
3280,very long-chain fatty acid metabolic process (GO:0000038),29-Jan,0.788667904,0.85234767,0,0,0.648786674,0.154028415,SLC27A5,All,GO_Biological_Process_2018,HET
3281,TRIF-dependent toll-like receptor signaling pathway (GO:0035666),29-Jan,0.788667904,0.85234767,0,0,0.648786674,0.154028415,CD14,All,GO_Biological_Process_2018,HET
3282,determination of bilateral symmetry (GO:0009855),29-Jan,0.788667904,0.85234767,0,0,0.648786674,0.154028415,DLL1,All,GO_Biological_Process_2018,HET
3283,negative regulation of canonical Wnt signaling pathway (GO:0090090),6/148,0.789942261,0.85346488,0,0,0.766634523,0.180768911,SFRP1;SIAH2;LEF1;SOX9;APOE;NKD2,All,GO_Biological_Process_2018,HET
3284,RNA transport (GO:0050658),Mar-80,0.794363496,0.857719124,0,0,0.707292707,0.162828767,NXT1;TGFBR2;ZFP36L1,All,GO_Biological_Process_2018,HET
3285,"retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)",Mar-80,0.794363496,0.857719124,0,0,0.707292707,0.162828767,PICK1;KDELR2;TAPBP,All,GO_Biological_Process_2018,HET
3286,DNA-dependent DNA replication (GO:0006261),Feb-56,0.797088793,0.859561488,0,0,0.67253709,0.152524147,MGME1;CDC7,All,GO_Biological_Process_2018,HET
3287,anion transport (GO:0006820),Feb-56,0.797088793,0.859561488,0,0,0.67253709,0.152524147,SLC22A3;SLC17A9,All,GO_Biological_Process_2018,HET
3288,positive regulation of lymphocyte activation (GO:0051251),4/104,0.79779377,0.859561488,0,0,0.725967276,0.163999746,PYCARD;TLR9;NCKAP1L;THY1,All,GO_Biological_Process_2018,HET
3289,vesicle organization (GO:0016050),5/127,0.798095323,0.859561488,0,0,0.743666888,0.167717138,SRGN;VAMP8;SNX18;RNF26;FNBP1L,All,GO_Biological_Process_2018,HET
3290,smoothened signaling pathway (GO:0007224),30-Jan,0.799704796,0.859561488,0,0,0.626381627,0.140004201,TMEM17,All,GO_Biological_Process_2018,HET
3291,negative regulation of cation channel activity (GO:2001258),30-Jan,0.799704796,0.859561488,0,0,0.626381627,0.140004201,EPHB2,All,GO_Biological_Process_2018,HET
3292,negative regulation of secretion by cell (GO:1903531),30-Jan,0.799704796,0.859561488,0,0,0.626381627,0.140004201,VAMP8,All,GO_Biological_Process_2018,HET
3293,MyD88-independent toll-like receptor signaling pathway (GO:0002756),30-Jan,0.799704796,0.859561488,0,0,0.626381627,0.140004201,CD14,All,GO_Biological_Process_2018,HET
3294,aminoglycan metabolic process (GO:0006022),30-Jan,0.799704796,0.859561488,0,0,0.626381627,0.140004201,GPC5,All,GO_Biological_Process_2018,HET
3295,regulation of protein polymerization (GO:0032271),30-Jan,0.799704796,0.859561488,0,0,0.626381627,0.140004201,HCLS1,All,GO_Biological_Process_2018,HET
3296,nuclear envelope organization (GO:0006998),30-Jan,0.799704796,0.859561488,0,0,0.626381627,0.140004201,REEP3,All,GO_Biological_Process_2018,HET
3297,negative regulation of cell morphogenesis involved in differentiation (GO:0010771),30-Jan,0.799704796,0.859561488,0,0,0.626381627,0.140004201,THY1,All,GO_Biological_Process_2018,HET
3298,ribosomal large subunit assembly (GO:0000027),30-Jan,0.799704796,0.859561488,0,0,0.626381627,0.140004201,NLE1,All,GO_Biological_Process_2018,HET
3299,negative regulation of stress-activated MAPK cascade (GO:0032873),30-Jan,0.799704796,0.859561488,0,0,0.626381627,0.140004201,PER1,All,GO_Biological_Process_2018,HET
3300,replication fork processing (GO:0031297),30-Jan,0.799704796,0.859561488,0,0,0.626381627,0.140004201,ETAA1,All,GO_Biological_Process_2018,HET
3301,epidermis development (GO:0008544),Mar-81,0.801241269,0.860691333,0,0,0.69818787,0.154713662,LAMC2;DLL1;GRHL2,All,GO_Biological_Process_2018,HET
3302,BMP signaling pathway (GO:0030509),Mar-81,0.801241269,0.860691333,0,0,0.69818787,0.154713662,GDF10;TGFB1;LEF1,All,GO_Biological_Process_2018,HET
3303,translational elongation (GO:0006414),4/105,0.803825015,0.862944107,0,0,0.718741364,0.156954194,EEF1A1;EEF1A2;RACK1;MRPL32,All,GO_Biological_Process_2018,HET
3304,G1/S transition of mitotic cell cycle (GO:0000082),4/105,0.803825015,0.862944107,0,0,0.718741364,0.156954194,CDC7;MNAT1;BACH1;PHF8,All,GO_Biological_Process_2018,HET
3305,cellular respiration (GO:0045333),Feb-57,0.805098081,0.864049287,0,0,0.660274212,0.143141618,NR4A3;COQ10B,All,GO_Biological_Process_2018,HET
3306,positive regulation of cell cycle (GO:0045787),Mar-82,0.807924972,0.866534638,0,0,0.689313535,0.147020983,MLXIPL;RARA;EVI2B,All,GO_Biological_Process_2018,HET
3307,negative regulation of binding (GO:0051100),Mar-82,0.807924972,0.866534638,0,0,0.689313535,0.147020983,LRRK2;CTSZ;LEF1,All,GO_Biological_Process_2018,HET
3308,gene expression (GO:0010467),18/411,0.809314866,0.866534638,0,0,0.829521504,0.17549957,APOBEC1;CEBPA;NXT1;DHX8;RPL22;RRBP1;GATA2;RPL10A;MRPL32;RPL7;EEF1A1;XAB2;ATXN1;RPS16;RPL18A;BCL3;EEF1A2;RPL13,All,GO_Biological_Process_2018,HET
3309,RNA splicing (GO:0008380),4/106,0.80970941,0.866534638,0,0,0.711657136,0.150216481,DHX8;TEP1;PRPF3;SNRPA1,All,GO_Biological_Process_2018,HET
3310,negative regulation of cell-cell adhesion (GO:0022408),31-Jan,0.810165801,0.866534638,0,0,0.60547025,0.127461393,TGFB1,All,GO_Biological_Process_2018,HET
3311,zinc ion homeostasis (GO:0055069),31-Jan,0.810165801,0.866534638,0,0,0.60547025,0.127461393,MT1G,All,GO_Biological_Process_2018,HET
3312,anterograde axonal transport (GO:0008089),31-Jan,0.810165801,0.866534638,0,0,0.60547025,0.127461393,SNAPIN,All,GO_Biological_Process_2018,HET
3313,positive regulation of viral genome replication (GO:0045070),31-Jan,0.810165801,0.866534638,0,0,0.60547025,0.127461393,PABPC1,All,GO_Biological_Process_2018,HET
3314,regulation of protein autophosphorylation (GO:0031952),31-Jan,0.810165801,0.866534638,0,0,0.60547025,0.127461393,GPNMB,All,GO_Biological_Process_2018,HET
3315,positive regulation of insulin secretion (GO:0032024),31-Jan,0.810165801,0.866534638,0,0,0.60547025,0.127461393,ISL1,All,GO_Biological_Process_2018,HET
3316,nucleobase-containing small molecule interconversion (GO:0015949),31-Jan,0.810165801,0.866534638,0,0,0.60547025,0.127461393,NME1,All,GO_Biological_Process_2018,HET
3317,positive regulation of intracellular protein transport (GO:0090316),6/152,0.810345473,0.866534638,0,0,0.745472319,0.156768812,SH3GLB1;MYBPC1;TGFB1;ITGAM;SLC17A9;ITGAX,All,GO_Biological_Process_2018,HET
3318,ubiquitin-dependent ERAD pathway (GO:0030433),Feb-58,0.81282485,0.868662171,0,0,0.648449293,0.134384391,HSPA5;EDEM1,All,GO_Biological_Process_2018,HET
3319,post-Golgi vesicle-mediated transport (GO:0006892),Feb-58,0.81282485,0.868662171,0,0,0.648449293,0.134384391,VAMP8;SCAMP2,All,GO_Biological_Process_2018,HET
3320,spermatogenesis (GO:0007283),6/153,0.815196519,0.870934353,0,0,0.740361718,0.151275199,SPATA32;TMEM119;SNRPA1;SOX9;TNP2;REC8,All,GO_Biological_Process_2018,HET
3321,male gamete generation (GO:0048232),6/154,0.819949421,0.873730222,0,0,0.73532018,0.145970337,SPATA32;TMEM119;SNRPA1;SOX9;TNP2;REC8,All,GO_Biological_Process_2018,HET
3322,negative regulation of calcium ion transmembrane transporter activity (GO:1901020),Jan-32,0.82008094,0.873730222,0,0,0.585907993,0.116216161,TLR9,All,GO_Biological_Process_2018,HET
3323,protein trimerization (GO:0070206),Jan-32,0.82008094,0.873730222,0,0,0.585907993,0.116216161,MGST1,All,GO_Biological_Process_2018,HET
3324,7-methylguanosine RNA capping (GO:0009452),Jan-32,0.82008094,0.873730222,0,0,0.585907993,0.116216161,MNAT1,All,GO_Biological_Process_2018,HET
3325,negative regulation of receptor activity (GO:2000272),Jan-32,0.82008094,0.873730222,0,0,0.585907993,0.116216161,EPHB2,All,GO_Biological_Process_2018,HET
3326,GPI anchor biosynthetic process (GO:0006506),Jan-32,0.82008094,0.873730222,0,0,0.585907993,0.116216161,PLAUR,All,GO_Biological_Process_2018,HET
3327,G2 DNA damage checkpoint (GO:0031572),Jan-32,0.82008094,0.873730222,0,0,0.585907993,0.116216161,DTL,All,GO_Biological_Process_2018,HET
3328,positive regulation of T cell differentiation (GO:0045582),Jan-32,0.82008094,0.873730222,0,0,0.585907993,0.116216161,NCKAP1L,All,GO_Biological_Process_2018,HET
3329,7-methylguanosine mRNA capping (GO:0006370),Jan-32,0.82008094,0.873730222,0,0,0.585907993,0.116216161,MNAT1,All,GO_Biological_Process_2018,HET
3330,keratinocyte differentiation (GO:0030216),Feb-59,0.820276752,0.873730222,0,0,0.637039284,0.126206078,MBD4;ST14,All,GO_Biological_Process_2018,HET
3331,rRNA metabolic process (GO:0016072),8/200,0.824573478,0.878043268,0,0,0.755434783,0.145715077,RPS16;RPL18A;RPL22;RPL13;ANG;EXOSC3;RPL10A;RPL7,All,GO_Biological_Process_2018,HET
3332,ion transport (GO:0006811),12/289,0.82889702,0.881150299,0,0,0.784909677,0.147295642,RYR1;P2RX7;CHRNB3;SLC9A5;SLC17A9;FXYD3;FXYD1;AQP4;PLP2;TCIRG1;ATP6V0D2;ASIC3,All,GO_Biological_Process_2018,HET
3333,regulation of T cell differentiation (GO:0045580),Jan-33,0.829478672,0.881150299,0,0,0.567568378,0.106111382,RUNX1,All,GO_Biological_Process_2018,HET
3334,response to exogenous dsRNA (GO:0043330),Jan-33,0.829478672,0.881150299,0,0,0.567568378,0.106111382,MUL1,All,GO_Biological_Process_2018,HET
3335,embryonic organ morphogenesis (GO:0048562),Jan-33,0.829478672,0.881150299,0,0,0.567568378,0.106111382,SOX11,All,GO_Biological_Process_2018,HET
3336,transcription initiation from RNA polymerase I promoter (GO:0006361),Jan-33,0.829478672,0.881150299,0,0,0.567568378,0.106111382,MNAT1,All,GO_Biological_Process_2018,HET
3337,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay (GO:0043928),Jan-33,0.829478672,0.881150299,0,0,0.567568378,0.106111382,EXOSC3,All,GO_Biological_Process_2018,HET
3338,regulation of DNA recombination (GO:0000018),Jan-33,0.829478672,0.881150299,0,0,0.567568378,0.106111382,ZNF365,All,GO_Biological_Process_2018,HET
3339,positive regulation of nucleocytoplasmic transport (GO:0046824),Jan-33,0.829478672,0.881150299,0,0,0.567568378,0.106111382,TGFB1,All,GO_Biological_Process_2018,HET
3340,positive regulation of establishment of protein localization to mitochondrion (GO:1903749),4/110,0.831818693,0.883371528,0,0,0.684656873,0.12607325,SH3GLB1;MYBPC1;SLC17A9;ITGAX,All,GO_Biological_Process_2018,HET
3341,protein targeting to membrane (GO:0006612),Feb-61,0.834386393,0.885541802,0,0,0.615379606,0.111419821,RTP4;NCF1,All,GO_Biological_Process_2018,HET
3342,regulation of DNA replication (GO:0006275),Feb-61,0.834386393,0.885541802,0,0,0.615379606,0.111419821,TGFB1;IGF1,All,GO_Biological_Process_2018,HET
3343,ER to Golgi vesicle-mediated transport (GO:0006888),7/180,0.834611289,0.885541802,0,0,0.733635369,0.13263334,SPTBN5;SEC23IP;PROS1;CAPZA1;CTSZ;NRBP1;CTSC,All,GO_Biological_Process_2018,HET
3344,mitochondrial transport (GO:0006839),5/135,0.838797008,0.889675381,0,0,0.697606344,0.12262981,CHCHD4;TOMM40;SAMM50;UCP2;OTC,All,GO_Biological_Process_2018,HET
3345,ribosome biogenesis (GO:0042254),9/226,0.839008782,0.889675381,0,0,0.751677972,0.13194512,SETD4;RPS16;RPL18A;RPL22;DDX31;RPL13;EXOSC3;RPL10A;RPL7,All,GO_Biological_Process_2018,HET
3346,positive regulation of catabolic process (GO:0009896),Feb-62,0.841059219,0.891583099,0,0,0.605091258,0.104737186,TNF;DTL,All,GO_Biological_Process_2018,HET
3347,ncRNA processing (GO:0034470),9/227,0.842619427,0.892970155,0,0,0.748189981,0.128119958,INTS12;RPS16;RPL18A;AGO4;RPL22;RPL13;EXOSC3;RPL10A;RPL7,All,GO_Biological_Process_2018,HET
3348,"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)",Mar-88,0.844149153,0.894324088,0,0,0.640452489,0.108509353,FZD1;PARD6A;FZD2,All,GO_Biological_Process_2018,HET
3349,"nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)",Jan-35,0.846828408,0.895290719,0,0,0.53412555,0.088802215,EXOSC3,All,GO_Biological_Process_2018,HET
3350,anatomical structure homeostasis (GO:0060249),Jan-35,0.846828408,0.895290719,0,0,0.53412555,0.088802215,ZNF365,All,GO_Biological_Process_2018,HET
3351,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",Jan-35,0.846828408,0.895290719,0,0,0.53412555,0.088802215,RPS16,All,GO_Biological_Process_2018,HET
3352,regulation of mitochondrial membrane potential (GO:0051881),Jan-35,0.846828408,0.895290719,0,0,0.53412555,0.088802215,LRRK2,All,GO_Biological_Process_2018,HET
3353,regulation of phosphoprotein phosphatase activity (GO:0043666),Jan-35,0.846828408,0.895290719,0,0,0.53412555,0.088802215,TIPRL,All,GO_Biological_Process_2018,HET
3354,positive regulation of telomerase activity (GO:0051973),Jan-35,0.846828408,0.895290719,0,0,0.53412555,0.088802215,GRHL2,All,GO_Biological_Process_2018,HET
3355,positive regulation of DNA replication (GO:0045740),Jan-35,0.846828408,0.895290719,0,0,0.53412555,0.088802215,IGF1,All,GO_Biological_Process_2018,HET
3356,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)",Feb-63,0.847487323,0.895720362,0,0,0.595140234,0.098483447,PABPC1;EXOSC3,All,GO_Biological_Process_2018,HET
3357,regulation of establishment of planar polarity (GO:0090175),Mar-89,0.849574036,0.897658357,0,0,0.632971825,0.103187187,FZD1;PARD6A;FZD2,All,GO_Biological_Process_2018,HET
3358,NADH dehydrogenase complex assembly (GO:0010257),Feb-64,0.853678052,0.901064724,0,0,0.58551021,0.092628385,NDUFB2;ECSIT,All,GO_Biological_Process_2018,HET
3359,mitochondrial respiratory chain complex I biogenesis (GO:0097031),Feb-64,0.853678052,0.901064724,0,0,0.58551021,0.092628385,NDUFB2;ECSIT,All,GO_Biological_Process_2018,HET
3360,mitochondrial respiratory chain complex I assembly (GO:0032981),Feb-64,0.853678052,0.901064724,0,0,0.58551021,0.092628385,NDUFB2;ECSIT,All,GO_Biological_Process_2018,HET
3361,sodium ion transmembrane transport (GO:0035725),Jan-36,0.854830222,0.901064724,0,0,0.518837401,0.081380892,SCN2A,All,GO_Biological_Process_2018,HET
3362,endosome organization (GO:0007032),Jan-36,0.854830222,0.901064724,0,0,0.518837401,0.081380892,RNF26,All,GO_Biological_Process_2018,HET
3363,cardiac muscle contraction (GO:0060048),Jan-36,0.854830222,0.901064724,0,0,0.518837401,0.081380892,TNNI1,All,GO_Biological_Process_2018,HET
3364,inner mitochondrial membrane organization (GO:0007007),Jan-36,0.854830222,0.901064724,0,0,0.518837401,0.081380892,SAMM50,All,GO_Biological_Process_2018,HET
3365,spermatid development (GO:0007286),Jan-36,0.854830222,0.901064724,0,0,0.518837401,0.081380892,KLHL32,All,GO_Biological_Process_2018,HET
3366,positive regulation of protein modification by small protein conjugation or removal (GO:1903322),Feb-65,0.859638653,0.905326099,0,0,0.576185902,0.08714417,LRRK2;MUL1,All,GO_Biological_Process_2018,HET
3367,DNA synthesis involved in DNA repair (GO:0000731),Feb-65,0.859638653,0.905326099,0,0,0.576185902,0.08714417,XRCC2;DTL,All,GO_Biological_Process_2018,HET
3368,fatty acid catabolic process (GO:0009062),Feb-65,0.859638653,0.905326099,0,0,0.576185902,0.08714417,ACAD10;ACAT2,All,GO_Biological_Process_2018,HET
3369,protein-DNA complex assembly (GO:0065004),Mar-91,0.859932035,0.905366259,0,0,0.618520542,0.093335939,XRCC2;SOX9;MNAT1,All,GO_Biological_Process_2018,HET
3370,spliceosomal snRNP assembly (GO:0000387),Jan-37,0.862414389,0.907171956,0,0,0.504398592,0.074660774,PRPF3,All,GO_Biological_Process_2018,HET
3371,regulation of DNA repair (GO:0006282),Jan-37,0.862414389,0.907171956,0,0,0.504398592,0.074660774,EYA4,All,GO_Biological_Process_2018,HET
3372,regulation of dendrite development (GO:0050773),Jan-37,0.862414389,0.907171956,0,0,0.504398592,0.074660774,SEMA4D,All,GO_Biological_Process_2018,HET
3373,nuclear export (GO:0051168),Mar-92,0.864872571,0.909218438,0,0,0.611538462,0.088778934,NXT1;ATXN1;TGFB1,All,GO_Biological_Process_2018,HET
3374,cell cycle G1/S phase transition (GO:0044843),Mar-92,0.864872571,0.909218438,0,0,0.611538462,0.088778934,CDC7;MNAT1;PHF8,All,GO_Biological_Process_2018,HET
3375,JNK cascade (GO:0007254),Feb-66,0.865376263,0.909478402,0,0,0.567152978,0.082005148,MUL1;MAP3K21,All,GO_Biological_Process_2018,HET
3376,potassium ion import (GO:0010107),Jan-38,0.869602686,0.912838334,0,0,0.49074026,0.068565667,KCNJ2,All,GO_Biological_Process_2018,HET
3377,mitochondrion disassembly (GO:0061726),Jan-38,0.869602686,0.912838334,0,0,0.49074026,0.068565667,ATG9B,All,GO_Biological_Process_2018,HET
3378,DNA damage checkpoint (GO:0000077),Jan-38,0.869602686,0.912838334,0,0,0.49074026,0.068565667,TIPRL,All,GO_Biological_Process_2018,HET
3379,regulation of cellular pH (GO:0030641),Jan-38,0.869602686,0.912838334,0,0,0.49074026,0.068565667,SLC9A5,All,GO_Biological_Process_2018,HET
3380,epidermal cell differentiation (GO:0009913),Feb-67,0.870897902,0.91365716,0,0,0.55839799,0.077187649,MBD4;ST14,All,GO_Biological_Process_2018,HET
3381,regulation of gene silencing by miRNA (GO:0060964),Feb-67,0.870897902,0.91365716,0,0,0.55839799,0.077187649,TGFB1;STAT3,All,GO_Biological_Process_2018,HET
3382,RNA metabolic process (GO:0016070),7/191,0.875266252,0.917968479,0,0,0.689372797,0.091843174,APOBEC1;ATXN1;TP53RK;DHX8;AGO4;DDX31;PABPC3,All,GO_Biological_Process_2018,HET
3383,Golgi to plasma membrane transport (GO:0006893),Jan-39,0.87641576,0.918630822,0,0,0.477800788,0.063028942,RAB31,All,GO_Biological_Process_2018,HET
3384,DNA biosynthetic process (GO:0071897),Jan-39,0.87641576,0.918630822,0,0,0.477800788,0.063028942,XRCC2,All,GO_Biological_Process_2018,HET
3385,cilium organization (GO:0044782),7/192,0.878513542,0.920557617,0,0,0.685609934,0.088802911,TMEM17;GSN;TCTN1;IFT80;FNBP1L;CCNO;KIF27,All,GO_Biological_Process_2018,HET
3386,RNA processing (GO:0006396),7/193,0.881690265,0.922129317,0,0,0.681887533,0.085859499,APOBEC1;ATXN1;DHX8;TEP1;PRPF3;SNRPA1;TSEN2,All,GO_Biological_Process_2018,HET
3387,Golgi organization (GO:0007030),4/121,0.881801202,0.922129317,0,0,0.619925471,0.077979584,SPTBN5;SEC23IP;LRRK2;OBSL1,All,GO_Biological_Process_2018,HET
3388,negative regulation of TOR signaling (GO:0032007),Jan-40,0.882873177,0.922129317,0,0,0.465524878,0.057992164,CASTOR2,All,GO_Biological_Process_2018,HET
3389,negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059),Jan-40,0.882873177,0.922129317,0,0,0.465524878,0.057992164,SPRY2,All,GO_Biological_Process_2018,HET
3390,cognition (GO:0050890),Jan-40,0.882873177,0.922129317,0,0,0.465524878,0.057992164,CYFIP1,All,GO_Biological_Process_2018,HET
3391,positive regulation of mitotic nuclear division (GO:0045840),Jan-40,0.882873177,0.922129317,0,0,0.465524878,0.057992164,IGF1,All,GO_Biological_Process_2018,HET
3392,androgen receptor signaling pathway (GO:0030521),Jan-40,0.882873177,0.922129317,0,0,0.465524878,0.057992164,MBD4,All,GO_Biological_Process_2018,HET
3393,detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580),Jan-40,0.882873177,0.922129317,0,0,0.465524878,0.057992164,RTP4,All,GO_Biological_Process_2018,HET
